n_estimators,max_depth,validation_accuracy,validation_f1_score,training_accuracy,training_f1_score,difference
8,21,0.8669522563767168,0.8646183295617774,0.9315995097156865,0.9309176045957862,0.0646472533389697
8,22,0.874467698568418,0.8735541751078906,0.9543266733523619,0.9541066546613475,0.07985897478394388
8,23,0.8789917157183345,0.8781968824720222,0.9667486092896878,0.966615125645179,0.0877568935713533
8,24,0.8793870358258847,0.878829001171278,0.970491398596004,0.9703763372265184,0.09110436277011924
8,25,0.883445243804956,0.8829340612483797,0.9777519778514918,0.9776995127984119,0.09430673404653578
8,26,0.884567981978054,0.8843131307665761,0.9827508207119409,0.9827121950017845,0.09818283873388689
8,27,0.8856096940629314,0.8855239168838189,0.9874310644826729,0.9874098115037113,0.10182137041974149
8,28,0.8888205798997166,0.8887526647879774,0.9907667120951082,0.9907539540101545,0.10194613219539161
8,29,0.8859588692682218,0.8859104019005634,0.9915898240290743,0.9915820939849223,0.10563095476085249
8,30,0.8883871084950221,0.888565971981309,0.9936031611338253,0.9935972334346308,0.10521605263880318
9,15,0.760356078773345,0.7327512478091402,0.778492547164151,0.7533428046074993,0.01813646839080596
9,16,0.8042137199331444,0.7907315520138556,0.827653063848389,0.8149566382938884,0.023439343915244604
9,17,0.8309410653295546,0.8241381531517591,0.8669941800166285,0.8622587224985842,0.03605311468707395
9,18,0.8505980670009446,0.8465410342636629,0.8894546015582813,0.8860723370823572,0.03885653455733662
9,19,0.8545607150643122,0.8519031585148653,0.9058693546589867,0.904232017144821,0.051308639594674466
9,20,0.8647184070925078,0.8623483596673842,0.9269113802531993,0.926077419984557,0.0621929731606915
9,21,0.8658356950802995,0.8634739841057506,0.93179185202328,0.931139817078226,0.06595615694298052
9,22,0.875192573214156,0.8741030383082281,0.9540077314064817,0.9537695429250381,0.07881515819232565
9,23,0.8792427875881114,0.87837322464273,0.9669464372958935,0.9668265754902298,0.0877036497077821
9,24,0.8789931691010827,0.8783821274463272,0.9708317690520885,0.9707109746497224,0.09183859995100574
9,25,0.8835400770292856,0.8830651783154093,0.9781839766172097,0.9781336830542384,0.09464389958792407
9,26,0.8843957561223749,0.8841182331787195,0.9826379353201848,0.9825995707315619,0.09824217919780998
9,27,0.8852576120921445,0.8852186385018895,0.9870585512612821,0.9870366019375527,0.10180093916913757
9,28,0.8882988154930601,0.8881218682712035,0.9906563981245768,0.9906434581348332,0.10235758263151673
9,29,0.8860242714918974,0.8859147645885571,0.9914773672075222,0.9914695609579143,0.10545309571562478
9,30,0.8881480270329192,0.8883048573110275,0.9937013894246016,0.9936954756129249,0.10555336239168245
10,15,0.7678766078046654,0.7437699241212778,0.7849643858160406,0.7628709028858144,0.017087778011375176
